indicator_id,region_id,date,value
Z3BR,76977,1996-01-31,90867.0
ZABT,11041,1996-02-29,41592.0
Z5BR,80883,1996-06-30,116283.0
Z4BR,272494,1996-11-30,232251.0
Z3BR,77308,1996-06-30,83228.0
ZABT,24067,1996-10-31,81184.0
Z4BR,70780,1996-12-31,138347.0
ZSFH,74221,1996-07-31,101485.0
Z1BR,43044,1996-02-29,109433.0
Z3BR,174217,1996-06-30,149267.0
Z4BR,70135,1996-08-31,97147.0
ZSFH,274631,1996-11-30,73820.0
ZALL,79026,1996-11-30,145324.0
Z2BR,62458,1996-11-30,96543.0
Z3BR,399041,1996-06-30,74201.0
ZSFH,41236,1996-11-30,102436.0
ZCON,41756,1996-02-29,60617.0
Z4BR,126571,1996-02-29,146406.0
ZSFH,5967,1996-10-31,171608.0
Z1BR,99947,1996-05-31,110614.0
ZSFH,397216,1996-08-31,42258.0
Z3BR,99095,1996-09-30,117747.0
Z3BR,59036,1996-12-31,104586.0
ZABT,33126,1996-06-30,39366.0
ZABT,17685,1996-06-30,143751.0
Z2BR,80977,1996-12-31,79655.0
Z4BR,67995,1996-02-29,62544.0
Z3BR,67790,1996-03-31,84800.0
Z5BR,60536,1996-03-31,415971.0
Z3BR,407581,1996-06-30,42889.0
ZALL,72727,1996-04-30,92926.0
Z4BR,276522,1996-03-31,128543.0
ZABT,11671,1996-12-31,56762.0
ZATT,11762,1996-02-29,132113.0
Z3BR,761585,1996-06-30,144065.0
ZATT,126880,1996-06-30,122749.0
ZALL,91196,1996-04-30,96224.0
ZSFH,30745,1996-04-30,238124.0
ZCON,31184,1996-09-30,77443.0
Z3BR,188385,1996-12-31,221485.0
ZALL,200532,1996-04-30,75478.0
Z3BR,762457,1996-11-30,152384.0
Z2BR,53300,1996-11-30,127853.0
Z4BR,275357,1996-10-31,202836.0
ZCON,95830,1996-12-31,160742.0
ZCON,65015,1996-11-30,105317.0
ZALL,66801,1996-10-31,425014.0
Z3BR,124653,1996-11-30,125345.0
Z1BR,29592,1996-04-30,97804.0
Z3BR,403523,1996-07-31,150332.0
Z2BR,58408,1996-05-31,99347.0
Z3BR,125009,1996-07-31,95286.0
Z4BR,66207,1996-03-31,424406.0
ZSFH,170302,1996-10-31,138743.0
Z4BR,79200,1996-10-31,80784.0
ZSFH,275444,1996-07-31,187489.0
ZSFH,260194,1996-02-29,41314.0
Z3BR,82277,1996-04-30,109929.0
ZCON,762191,1996-08-31,236146.0
ZABT,38391,1996-06-30,26467.0
Z3BR,59900,1996-08-31,125543.0
Z2BR,398522,1996-08-31,133572.0
ZSFH,70284,1996-12-31,61878.0
Z5BR,80199,1996-12-31,92421.0
ZSFH,78908,1996-07-31,92658.0
ZALL,396805,1996-12-31,193006.0
Z3BR,16432,1996-12-31,67421.0
Z2BR,88025,1996-03-31,83783.0
Z4BR,17202,1996-08-31,45412.0
ZATT,5622,1996-10-31,119815.0
Z5BR,20742,1996-03-31,453179.0
ZSFH,623378,1996-01-31,271134.0
ZATT,5169,1996-01-31,336248.0
Z1BR,396716,1996-02-29,108472.0
Z2BR,123783,1996-05-31,81107.0
ZALL,398222,1996-06-30,122368.0
ZATT,53554,1996-01-31,65274.0
ZALL,72543,1996-10-31,97805.0
Z1BR,394517,1996-08-31,33557.0
Z3BR,35347,1996-08-31,128846.0
ZABT,4500,1996-09-30,28273.0
Z2BR,34925,1996-02-29,28147.0
ZSFH,155995,1996-04-30,179871.0
Z5BR,58973,1996-12-31,103670.0
Z2BR,65685,1996-10-31,140002.0
Z1BR,65312,1996-11-30,71788.0
Z3BR,29211,1996-03-31,156907.0
Z3BR,62427,1996-06-30,60446.0
Z4BR,25385,1996-12-31,183239.0
Z3BR,17184,1996-12-31,114114.0
ZABT,398464,1996-08-31,97686.0
ZCON,79024,1996-01-31,112540.0
Z4BR,3734,1996-05-31,915643.0
Z4BR,67037,1996-11-30,166574.0
Z2BR,22846,1996-03-31,89557.0
Z1BR,30552,1996-04-30,125251.0
ZSFH,762101,1996-06-30,207817.0
ZCON,96964,1996-11-30,181396.0
Z3BR,93117,1996-01-31,60742.0
Z2BR,31615,1996-11-30,60384.0
ZALL,272049,1996-07-31,81756.0
ZALL,99722,1996-03-31,221640.0
Z4BR,763741,1996-03-31,123193.0
ZSFH,69633,1996-07-31,233380.0
ZSFH,6791,1996-07-31,80415.0
ZSFH,70220,1996-11-30,94985.0
Z5BR,60590,1996-05-31,344589.0
Z1BR,49631,1996-09-30,32989.0
Z2BR,399297,1996-09-30,40286.0
ZATT,26161,1996-09-30,282438.0
Z3BR,71541,1996-02-29,43470.0
ZSFH,76987,1996-01-31,75486.0
ZALL,417162,1996-04-30,130720.0
ZATT,539,1996-01-31,66065.0
Z2BR,269488,1996-05-31,40665.0
Z4BR,16515,1996-12-31,51863.0
ZABT,49897,1996-07-31,11838.0
Z5BR,25084,1996-12-31,232051.0
Z3BR,14134,1996-05-31,134347.0
Z1BR,18281,1996-09-30,83903.0
Z4BR,417169,1996-08-31,56100.0
Z5BR,70878,1996-08-31,249975.0
ZCON,11940,1996-10-31,37611.0
ZATT,38324,1996-10-31,144136.0
ZABT,19721,1996-09-30,93063.0
ZALL,66118,1996-04-30,161501.0
ZALL,121807,1996-02-29,194012.0
Z1BR,74557,1996-05-31,45922.0
ZALL,2963,1996-04-30,41753.0
ZALL,268672,1996-12-31,144496.0
Z3BR,63697,1996-02-29,49135.0
Z3BR,72188,1996-12-31,95698.0
ZATT,18172,1996-07-31,152483.0
Z2BR,21262,1996-12-31,41145.0
Z3BR,37624,1996-07-31,212452.0
Z5BR,13534,1996-01-31,362770.0
ZSFH,213482,1996-06-30,91057.0
ZALL,65351,1996-09-30,164439.0
Z4BR,417125,1996-11-30,98240.0
Z5BR,116135,1996-03-31,290339.0
Z1BR,66128,1996-06-30,167854.0
ZSFH,89973,1996-11-30,128270.0
ZSFH,416231,1996-03-31,179517.0
ZSFH,47288,1996-10-31,33867.0
ZALL,69817,1996-11-30,197984.0
Z5BR,22932,1996-10-31,227954.0
ZCON,95838,1996-05-31,50606.0
Z4BR,270855,1996-06-30,255726.0
ZABT,394335,1996-06-30,29569.0
ZSFH,99258,1996-05-31,187478.0
Z1BR,10816,1996-05-31,68462.0
Z4BR,65369,1996-03-31,171709.0
ZALL,762286,1996-10-31,138115.0
ZALL,90564,1996-06-30,43238.0
Z1BR,31819,1996-01-31,66471.0
ZSFH,18164,1996-12-31,56728.0
ZALL,67725,1996-03-31,156673.0
Z2BR,59459,1996-05-31,72062.0
Z4BR,97223,1996-12-31,95675.0
ZSFH,75696,1996-12-31,92585.0
Z1BR,32992,1996-12-31,96650.0
ZSFH,49129,1996-07-31,51935.0
ZCON,275659,1996-01-31,103763.0
Z5BR,274547,1996-08-31,104896.0
Z4BR,394992,1996-09-30,77644.0
Z5BR,82515,1996-02-29,94149.0
ZSFH,271467,1996-03-31,356958.0
Z2BR,273332,1996-01-31,106112.0
Z2BR,763575,1996-06-30,99481.0
Z3BR,10727,1996-08-31,105894.0
Z4BR,74735,1996-06-30,98731.0
Z5BR,98176,1996-05-31,366032.0
ZALL,26526,1996-05-31,209777.0
ZALL,4904,1996-01-31,107147.0
Z4BR,252182,1996-10-31,284381.0
ZALL,93279,1996-11-30,232230.0
ZALL,394910,1996-02-29,93041.0
Z3BR,93594,1996-05-31,98096.0
Z4BR,38794,1996-03-31,111789.0
Z1BR,55477,1996-07-31,139274.0
ZABT,7241,1996-07-31,130394.0
ZCON,77677,1996-05-31,72471.0
Z3BR,760921,1996-04-30,119010.0
ZSFH,417610,1996-12-31,123939.0
ZALL,47496,1996-12-31,134966.0
Z5BR,96545,1996-05-31,255852.0
Z4BR,4280,1996-08-31,134468.0
Z3BR,89025,1996-01-31,66060.0
Z4BR,49520,1996-07-31,43672.0
Z3BR,79385,1996-10-31,109063.0
Z3BR,89254,1996-10-31,67162.0
ZABT,394538,1996-04-30,27415.0
Z5BR,211078,1996-09-30,109016.0
ZATT,230978,1996-09-30,165842.0
Z2BR,78980,1996-10-31,122964.0
ZSFH,51659,1996-10-31,210287.0
Z2BR,66740,1996-04-30,148949.0
ZALL,100129,1996-11-30,89575.0
Z5BR,24336,1996-05-31,116963.0
ZALL,140913,1996-03-31,41653.0
ZSFH,76287,1996-02-29,51048.0
ZABT,330,1996-10-31,93318.0
ZATT,16400,1996-04-30,168932.0
Z2BR,84314,1996-04-30,104942.0
Z4BR,32975,1996-09-30,158024.0
ZALL,95820,1996-07-31,230898.0
Z4BR,416352,1996-11-30,224157.0
Z2BR,62419,1996-02-29,71394.0
Z5BR,268506,1996-03-31,253077.0
ZSFH,51089,1996-01-31,85704.0
Z5BR,22931,1996-10-31,58586.0
ZCON,40059,1996-04-30,65290.0
ZALL,8000,1996-10-31,141241.0
ZALL,623416,1996-03-31,99103.0
ZSFH,94471,1996-08-31,144153.0
ZSFH,60659,1996-06-30,154435.0
